Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Creator;Reference;Attributions;Update frequency;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score
indice-de-precios-de-consumo;False;Índice de Precios de Consumo;"<p>Índice de Precios de Consumo en Castilla y León y en España en los años.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p>";Economía;"coyuntura;económica;ipc";CC BY 4.0 ES;es;Europe/Madrid;2026-09-04T15:00:20.539000+02:00;2026-09-04T15:00:20.539000+02:00;2026-09-24T15:01:38.266000+02:00;Junta de Castilla y León;;;;240;5368;0;15140;233;0;0;4.8
indice-de-produccion-industrial;False;Índice de Producción Industrial;"<p>Índice de Producción Industrial en Castilla y León en los últimos años.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p>";Economía;"coyuntura;económica;índice;producción;industrial;bienes;consumo;duradero";CC BY 4.0 ES;es;Europe/Madrid;2026-09-04T15:00:02.625000+02:00;2026-09-04T15:00:02.625000+02:00;2026-09-24T15:01:38.259000+02:00;Junta de Castilla y León;;;;264;23567;0;17124;177;0;0;4.9
principales-variables-turisticas;False;Principales variables turísticas;"<p>Valores de las principales variables turísticas por tipo en Castilla y León en los últimos años.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p>";Turismo;"coyuntura;económica;turismo;demanda;ocupación;estancia;establecimientos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-03T22:00:43.796000+02:00;2026-09-03T22:00:43.796000+02:00;2026-09-24T22:00:25.695000+02:00;Junta de Castilla y León;;;;377;19964;0;24805;299;0;0;6.0
licitacion-de-obras-publicas;False;Licitación de obras públicas;"<p>Licitación de obras públicas en Castilla y León y España en los últimos años.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Trimestral.</span></p>";Sector público;"coyuntura;económica;licitación;obras públicas;vivienda;edificación";CC BY 4.0 ES;es;Europe/Madrid;2026-09-03T22:00:40.486000+02:00;2026-09-03T22:00:40.486000+02:00;2026-09-24T22:00:45.941000+02:00;Junta de Castilla y León;;;;1;12;0;10632;519;0;0;4.5
contratos-menores;False;Contratos menores;"<p style=""font-family: lora; font-size: medium;"">Contratos menores suscritos por la Administración de la Comunidad de Castilla y León desde el año 2019.</p><p style=""font-family: lora; font-size: medium;""><span class=""spanunderline"" style=""text-decoration-line: underline;""><span style=""font-weight: bolder;"">NOTA</span></span>: Se advierte, para una mejor comprensión de los datos del informe, que algunos de los datos que en él figuran, en especial los enlaces a la publicación, no se incorporan aún al sistema de forma automatizada, lo que sí sucederá cuando concluya la integración sistémica de la Plataforma Duero de contratación electrónica con la Plataforma de contratación del Sector público, prevista para el primer semestre de 2020.</p>";Sector público;"contratos;menores";CC BY 4.0 ES;es;Europe/Madrid;2026-09-02T13:08:10.829000+02:00;2026-09-02T13:08:10.829000+02:00;2026-09-24T23:08:54.596000+02:00;Junta de Castilla y León;;;;128119;51179875;0;116711;5277;0;0;14.9
contratos-ordinarios;False;Contratos ordinarios;"<p style=""font-family: lora; font-size: medium;"">Contratos ordinarios suscritos por la Administración de la Comunidad de Castilla y León desde el año 2019.</p><p style=""font-family: lora; font-size: medium;""><span class=""spanunderline"" style=""text-decoration-line: underline;""><span style=""font-weight: bolder;"">NOTA</span></span>: Se advierte, para una mejor comprensión de los datos del informe, que algunos de los datos que en él figuran, en especial los enlaces a la publicación, no se incorporan aún al sistema de forma automatizada, lo que sí sucederá cuando concluya la integración sistémica de la Plataforma Duero de contratación electrónica con la Plataforma de contratación del Sector público, prevista para el primer semestre de 2020.</p>";Sector público;"contratos;ordinarios";CC BY 4.0 ES;es;Europe/Madrid;2026-09-02T13:07:06.107000+02:00;2026-09-02T13:07:06.107000+02:00;2026-09-24T23:08:12.520000+02:00;Junta de Castilla y León;;;;9462;3961532;0;72504;3920;0;0;12.0
contratos-desistimiento-renuncia-desierto;False;Contratos: desistimiento, renuncia, desierto;"<p style=""font-family: lora; font-size: medium;"">Desestimiento, renuncia y declaración de desierto de contratos de la Administración de la Comunidad de Castilla y León desde el año 2019.</p><p style=""font-family: lora; font-size: medium;""><span class=""spanunderline"" style=""text-decoration-line: underline;""><span style=""font-weight: bolder;"">NOTA</span></span>: Se advierte, para una mejor comprensión de los datos del informe, que algunos de los datos que en él figuran, en especial los enlaces a la publicación, no se incorporan aún al sistema de forma automatizada, lo que sí sucederá cuando concluya la integración sistémica de la Plataforma Duero de contratación electrónica con la Plataforma de contratación del Sector público, prevista para el primer semestre de 2020.</p>";Sector público;"contratos;desistimiento;renuncia;desierto";CC BY 4.0 ES;es;Europe/Madrid;2026-09-02T13:07:06.011000+02:00;2026-09-02T13:07:06.011000+02:00;2026-09-24T23:08:12.561000+02:00;Junta de Castilla y León;;;;4416;1286717;0;16561;1811;0;0;6.4
contratos-basados-en-acuerdo-marco;False;Contratos basados en acuerdo marco;"<p style=""font-family: lora; font-size: medium;"">Contratos basados en acuerdo marco suscritos por la Administración de la Comunidad de Castilla y León desde el año 2019.</p><p style=""font-family: lora; font-size: medium;""><span class=""spanunderline"" style=""text-decoration-line: underline;""><span style=""font-weight: bolder;"">NOTA</span></span>: Se advierte, para una mejor comprensión de los datos del informe, que algunos de los datos que en él figuran, en especial los enlaces a la publicación, no se incorporan aún al sistema de forma automatizada, lo que sí sucederá cuando concluya la integración sistémica de la Plataforma Duero de contratación electrónica con la Plataforma de contratación del Sector público, prevista para el primer semestre de 2020.</p>";Sector público;"contratos;acuerdo marco";CC BY 4.0 ES;es;Europe/Madrid;2026-09-02T13:07:05.303000+02:00;2026-09-02T13:07:05.303000+02:00;2026-09-24T23:08:12.541000+02:00;Junta de Castilla y León;;;;2290;929246;0;42443;2495;0;0;9.3
contratos-modificados;False;Contratos modificados;"<p style=""font-family: lora; font-size: medium;"">Contratos modificados por la Administración de la Comunidad de Castilla y León desde el año 2019.</p><p style=""font-family: lora; font-size: medium;""><span class=""spanunderline"" style=""text-decoration-line: underline;""><span style=""font-weight: bolder;"">NOTA</span></span>: Se advierte, para una mejor comprensión de los datos del informe, que algunos de los datos que en él figuran, en especial los enlaces a la publicación, no se incorporan aún al sistema de forma automatizada, lo que sí sucederá cuando concluya la integración sistémica de la Plataforma Duero de contratación electrónica con la Plataforma de contratación del Sector público, prevista para el primer semestre de 2020.</p>";Sector público;"contratos;modificados";CC BY 4.0 ES;es;Europe/Madrid;2026-09-02T13:07:05.208000+02:00;2026-09-02T13:07:05.208000+02:00;2026-09-24T23:33:02.587000+02:00;Junta de Castilla y León;;;;439;186765;0;25330;1918;0;0;7.5
registro-de-fundaciones-de-castilla-y-leon;False;Registro de fundaciones de Castilla y León;"<p>Las Fundaciones son organizaciones constituidas sin fin de lucro que, por voluntad de sus creadores, tienen afectado de modo duradero su patrimonio a la realización de fines de interés general.

Las que realizan sus actividades principalmente en el ámbito territorial de la Comunidad de Castilla y León, adquieren personalidad jurídica con la inscripción en el Registro de Fundaciones de Castilla y León, en el que, además, deben inscribirse todos los actos y negocios jurídicos relevantes de las mismas.

Los datos disponibles proceden de las inscripciones practicadas como consecuencia de los documentos presentados por las propias fundaciones en cumplimiento de lo establecido en la Ley, así como de las comunicaciones efectuadas por los representantes de las mismas.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p>";Sector público;"registro;fundaciones";CC BY 4.0 ES;es;Europe/Madrid;2026-09-01T22:01:05.207000+02:00;2026-09-01T22:01:05.207000+02:00;2026-09-24T22:00:45.742000+02:00;Junta de Castilla y León;;;;590;510211;0;63931;1057;0;0;9.9
