Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Creator;Reference;Attributions;Update frequency;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score
entidades-asociativas-agroalimentarias-prioritarias-reconocidas-de-caracter-regi;False;Entidades Asociativas Agroalimentarias Prioritarias Reconocidas de carácter regional;"<p><span style=""font-family: lora; font-size: medium;"">Entidades Asociativas Agroalimentarias prioritarias reconocidas en Castilla y León.</span></p><p><span style=""font-family: lora; font-size: medium;""><br></span><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p><p><br></p>";Medio rural y pesca;"entidades asociativas agroalimentarias prioritarias;EAPr;asociacionismo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-25T00:02:02.559000+02:00;2026-09-25T00:02:02.559000+02:00;2026-09-25T00:02:02.609000+02:00;Junta de Castilla y León;;;;47;4833;0;22184;495;0;0;6.0
estadisticas-web-paginas;False;Estadísticas web - Páginas;<p>Información sobre las páginas mas visitadas de cada sitio web siempre limitando a todas aquellas que tengan mas de 100 páginas vistas al día. Actualización diaria.</p><p><br></p>;Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T23:43:06.210000+02:00;2026-09-24T23:43:06.210000+02:00;2026-09-24T23:43:11.581000+02:00;Junta de Castilla y León;;;;119591;18295041;0;53178;1889;0;0;9.8
calidad-del-aire-del-dia-en-curso;False;Calidad del aire  del día en curso;"<p><span style=""font-family: lora; font-size: medium;"">Datos de concentración de contaminantes registrados cada hora, en el día en curso, en las estaciones de control de la calidad del aire de la Junta de Castilla y León.<br><br></span><span style=""font-family: lora; font-size: medium;"">Si se desea consultar los datos con un mayor nivel de filtrado o más actualizados, puede hacerlo en la</span><span style=""font-family: lora; font-size: medium;""> </span><a href=""http://servicios.jcyl.es/esco"" style=""color: rgb(186, 12, 47); text-decoration: none; font-family: lora; font-size: medium;"">aplicación de Consulta de Datos de la Red de Calidad del Aire</a><span style=""font-family: lora; font-size: medium;""></span></p>";Medio ambiente;"Calidad del aire;medio ambiente;atmosfera;contaminación;diario";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T23:06:17.026000+02:00;2026-09-24T23:06:17.026000+02:00;2026-09-24T23:06:17.069000+02:00;Junta de Castilla y León;;;HOURLY;3882;293155;0;4004;77;0;0;2.5
concentracion-parcelaria;False;Concentración Parcelaria;Información pública de concentraciones parcelarias;Medio rural y pesca;"concentración;parcelas;agricultura;superficie;fincas";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:10:49.725000+02:00;2026-09-24T22:10:49.725000+02:00;2026-09-24T22:10:49.781000+02:00;Junta de Castilla y León;;;;3192;870326;0;64201;308;0;0;9.1
formacion-del-ecyl;False;Formación del ECYL;"<p>Listado de cursos de formación competencia del ECYL.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Empleo;"formación;empleo;ecyl;cursos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:06:09.449000+02:00;2026-09-24T22:06:09.449000+02:00;2026-09-24T22:06:09.499000+02:00;Junta de Castilla y León;;;;552;688112;0;119842;25932;0;0;19.8
convocatorias-de-empleo-publico;False;Convocatorias de Empleo Público;"<p>Convocatorias de Empleo Público de la Junta de Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Sector público;"empleo;publico;oposiciones";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:06:09.164000+02:00;2026-09-24T22:06:09.164000+02:00;2026-09-24T22:06:09.209000+02:00;Junta de Castilla y León;;;;309;2928472;0;103713;519;0;0;11.6
proyectos-de-cooperacion-al-desarrollo;False;Proyectos de cooperación al desarrollo;"<p><span style=""font-family: lora; font-size: medium;"">Listado de proyectos de cooperación al desarrollo.</span></p><p><span style=""font-family: lora; font-size: medium;""><br></span><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Anual.</span></p><p><br></p>";Sociedad y bienestar;"proyectos;cooperación;desarrollo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:29.871000+02:00;2026-09-24T22:01:29.871000+02:00;2026-09-24T22:01:29.924000+02:00;Junta de Castilla y León;;;;934;3128996;0;43086;243;0;0;7.5
noticias-del-ecyl;False;Noticias del ECYL;"<p>Listado de noticias competencia del servicio público de empleo.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Empleo;"noticias;empleo;ecyl;actualidad;comunicación";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:21.763000+02:00;2026-09-24T22:01:21.763000+02:00;2026-09-24T22:01:21.811000+02:00;Junta de Castilla y León;;;;71;247744;0;109432;200;0;0;11.4
registro-de-turismo-de-castilla-y-leon;False;Registro de Turismo de Castilla y León;Relación de infraestructuras turísticas de Castilla y León;Turismo;"turismo;gastronomía;retu;alojamiento;esquí;golf;transporte";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:21.579000+02:00;2026-09-24T22:01:21.579000+02:00;2026-09-24T22:01:21.625000+02:00;Junta de Castilla y León;;;;35955;7921530;0;1738460;30221;0;0;51.8
ofertas-de-empleo;False;Ofertas de Empleo;"<p>Listado de ofertas de empleo en Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Empleo;"ofertas;empleo;ecyl;trabajo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:10.228000+02:00;2026-09-24T22:01:10.228000+02:00;2026-09-24T22:01:10.274000+02:00;Junta de Castilla y León;;;;1089;1100993;0;741042;1538;0;0;29.8
registro-de-municipios-de-castilla-y-leon;False;Registro de municipios de Castilla y León;"<p>Listado de municipios de Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Sector público;"registro;municipios;mancomunidades;entidades menores";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:00:39.172000+02:00;2026-09-24T22:00:39.172000+02:00;2026-09-24T22:00:39.218000+02:00;Junta de Castilla y León;;;;2248;430147;0;456583;54877;0;0;34.4
tramites;False;Trámites;"<p>Trámites de la Junta de Castilla y León en la Sede Electrónica. No incorpora convocatorias de ayudas y premios, incluidos en otros conjuntos de datos.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria</span></p>";Sector público;"tramites;sede;electronica";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:00:30.563000+02:00;2026-09-24T22:00:30.563000+02:00;2026-09-24T22:00:30.616000+02:00;Junta de Castilla y León;;;;846;6176574;0;49960;398;0;0;8.3
registro-de-desfibriladores-externos-semiautomaticos-desa-en-vehiculos-de-transp;False;Registro de desfibriladores externos semiautomáticos (DESA) en vehículos de transporte no sanitario;"<p>Relación de desfibriladores externos semiautomáticos (DESA) en vehículos de transporte NO sanitario de Castilla y León indicando su número de serie, empresa, provincia y localidad.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Salud;"desfibriladores;automáticos;vehículos;desa;dese";CC BY 4.0 ES;es;;2026-09-24T22:00:17.466000+02:00;2026-09-24T22:00:17.466000+02:00;2026-09-24T22:00:17.518000+02:00;Junta de Castilla y León;;;;130;11244;0;18099;466;0;0;5.5
directorio-de-centros-docentes;False;Directorio de Centros Docentes;Relación de centros educativos que imparten enseñanzas no universitarias en el curso académico actual;Educación;"educación;centros docentes;colegios;ceip;ies;primaria;infantil;secundaria;público;privado";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:00:15.299000+02:00;2026-09-24T22:00:15.299000+02:00;2026-09-24T22:00:15.348000+02:00;Junta de Castilla y León;;;;1744;659886;0;295528;5233;0;0;21.4
incendios-forestales;False;Parte diario de incendios forestales;"<p><span style=""font-size: 12.495px;"">Durante la campaña contra incendios forestales se publicarán en CSV los partes informativos de incendios forestales activos en Castilla y León.</span></p><p><span style=""font-size: 12.495px;"">Se realizarán a partir de los datos técnicos facilitados por la Dirección General de Medio Natural, de acuerdo con lo establecido en PLANCAL e INFOCAL.</span></p><p><span style='font-size:11.0pt;font-family:""Aptos"",sans-serif;
mso-fareast-font-family:Aptos;mso-fareast-theme-font:minor-latin;mso-bidi-font-family:
Aptos;mso-ligatures:standardcontextual;mso-ansi-language:ES;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA'>Con la aprobación del nuevo INFOCAL <b>DECRETO
6/2025 de 27 de marzo, </b>el índice de INFOCAL relativo a cada incendio en
función de su gravedad es el <b>Índice de Gravedad Potencial (IGR).</b>
Con el antiguo INFOCAL era el Nivel de gravedad del Incendio. Este es el motivo
del cambio, el nuevo INFOCAL entró en vigor el 2 de mayo de 2025.</span></p><p><span style=""font-size: 12.495px;""><br></span><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> dos veces al día hasta el 14 de octubre de 2025, fecha fin de la temporada de alto peligro de incendios</span><span style=""font-family: inherit; font-size: 1em;"">.</span></p>";Medio ambiente;"indendios;forestales;activos;medio ambiente;medio natural";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T21:15:55.509000+02:00;2026-09-24T21:15:55.509000+02:00;2026-09-24T21:15:55.554000+02:00;Junta de Castilla y León;;;;29088;8877966;0;1841899;69026;0;0;57.8
eventos-de-la-agenda-cultural-categorizados-y-geolocalizados;False;Eventos de la agenda cultural categorizados y geolocalizados;"<p>Relación de eventos de la agenda cultural que se celebran en Castilla y León desde el día en el que se realiza la consulta en adelante. 
Cada registro incluye su categoría, la dirección del lugar de celebración y las coordenadas de su posición geográfica.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Cada 4 horas.</span></p>";Cultura y ocio;"eventos;agenda;cultural;hoy;actual";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T21:01:26.786000+02:00;2026-09-24T21:01:26.786000+02:00;2026-09-24T21:01:26.829000+02:00;Junta de Castilla y León;;;;698;1775693;0;582309;555686;0;0;64.7
altos-cargos;False;Altos Cargos;<p>Altos cargos de la Junta de Castilla y León</p>;Sector público;altos cargos;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T19:10:41.068000+02:00;2026-09-24T19:10:41.068000+02:00;2026-09-24T19:10:41.116000+02:00;Junta de Castilla y León;;;;365;1766560;0;52116;464;0;0;8.5
registro-de-centros-sanitarios-de-castilla-y-leon;False;Registro de centros sanitarios de Castilla y León;"<p>Registro de centros de salud, consultorios médicos y hospitales ubicadas en Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p>";Salud;"centros de salud;consultorios médicos;hospitales;infraestructuras de salud;sanitarios;sanidad";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T17:14:18.436000+02:00;2026-09-24T17:14:18.436000+02:00;2026-09-24T23:14:16.553000+02:00;Junta de Castilla y León;;;;10479;3531931;0;601555;10613;0;0;30.5
convocatoria-y-orden-del-dia-de-la-comision-delegada-gobierno;False;Convocatoria y orden del día de la Comisión delegada del Gobierno;"<p>Convocatoria y el orden del día de la reunión de la Comisión Delegada del Gobierno, indicando para cada uno de ellos la fecha de la sesión, el número de la sesión, el título y el enlace a los documentos.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización: Semanal.</span></p>";Sector público;comisión delegada del gobierno;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:14.196000+02:00;2026-09-24T16:31:14.196000+02:00;2026-09-24T16:31:14.239000+02:00;Junta de Castilla y León;;;;69;9339;0;9685;718;0;0;4.6
acuerdos-de-la-comision-delegada-gobierno;False;Acuerdos de la Comisión Delegada del Gobierno;"<p style=""""><font face=""lora"" size=""3"">Relación de Acuerdos de la Comisión Delegada para Asuntos Económicos, indicando para cada uno de ellos la fecha de la sesión, el título, consejería responsable y documento completo del acuerdo.</font></p><p style=""""><br></p>";Sector público;"acuerdos;administración pública;comisión delegada del gobierno";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:14.186000+02:00;2026-09-24T16:31:14.186000+02:00;2026-09-24T16:31:14.237000+02:00;Junta de Castilla y León;;;;1058;639094;0;16494;763;0;0;5.6
actas-de-la-comision-delegada-gobierno;False;Actas de la comisión delegada del Gobierno;"<p>Listado de actas de la Comisión Delegada del Gobierno, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Semanal.</span></p>";Sector público;"actas;administración pública;comisión delegada del gobierno";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:13.669000+02:00;2026-09-24T16:31:13.669000+02:00;2026-09-24T16:31:13.713000+02:00;Junta de Castilla y León;;;;68;8660;0;11845;640;0;0;4.9
acuerdos-de-la-comision-delegada-para-asuntos-economicos;False;Acuerdos de la Comisión Delegada para Asuntos Económicos;"<p style=""""><font face=""lora"" size=""3"">Relación de Acuerdos de la Comisión Delegada para Asuntos Económicos, indicando para cada uno de ellos la fecha de la sesión, el título, consejería responsable y documento completo del acuerdo.</font></p><p style=""""><font face=""lora"" size=""3"">Nota: Comisión derogada por la disposición derogatoria del Decreto 19/2022, de 26 de mayo, por el que se crea y regula la Comisión Delegada del Gobierno<br></font><br></p>";Sector público;"acuerdos;comisión delegada de asuntos económicos;administración pública";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:03.922000+02:00;2026-09-24T16:31:03.922000+02:00;2026-09-24T16:31:03.974000+02:00;Junta de Castilla y León;;;;376;223085;0;12747;1441;0;0;5.7
actas-del-consejo-de-gobierno;False;Actas del Consejo de Gobierno;"<p>Listado de actas de Consejos de Gobierno, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Semanal.</span></p>";Sector público;"consejos de gobierno;actas";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:03.772000+02:00;2026-09-24T16:31:03.772000+02:00;2026-09-24T16:31:03.825000+02:00;Junta de Castilla y León;;;;348;46230;0;27177;2160;0;0;7.8
orden-del-dia-del-consejo-de-gobierno;False;Orden del Día del Consejo de Gobierno;"<p>Convocatoria y el orden del día de la reunión de Consejo de Gobierno, indicando para cada uno de ellos la fecha de la sesión, el número de la sesión, el título y el enlace a los documentos.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Semanal.</span></p>";Sector público;consejos de gobierno;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:03.732000+02:00;2026-09-24T16:31:03.732000+02:00;2026-09-24T16:31:03.779000+02:00;Junta de Castilla y León;;;;349;50202;0;29832;1844;0;0;7.9
convocatoria-y-orden-del-dia-de-la-comision-delegada;False;Convocatoria y orden del día de la Comisión delegada para asuntos económicos;"<p>Convocatoria y el orden del día de la reunión de la Comisión Delegada para Asuntos Económicos, indicando para cada uno de ellos la fecha de la sesión, el número de la sesión, el título y el enlace a los documentos.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización: Semanal.</span></p><p><span style=""font-family: inherit; font-size: 1em;"">Nota: Comisión d</span><span style=""font-size: 14px;"">erogada por la disposición derogatoria del Decreto 19/2022, de 26 de mayo, por el que se crea y regula la Comisión Delegada del Gobierno</span></p>";Sector público;comisión delegada de asuntos económicos;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:31:03.709000+02:00;2026-09-24T16:31:03.709000+02:00;2026-09-24T16:31:03.754000+02:00;Junta de Castilla y León;;;;32;4339;0;11184;1349;0;0;5.4
actas-de-la-comision-delegada-para-asuntos-economicos;False;Actas de la comisión delegada para asuntos económicos;"<p>Listado de actas de la Comisión Delegada para Asuntos Económicos, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Semanal.</span></p><p><span style=""font-family: inherit; font-size: 1em;"">Nota: Comisión d</span><span style=""font-size: 14px;"">erogada por la disposición derogatoria del Decreto 19/2022, de 26 de mayo, por el que se crea y regula la Comisión Delegada del Gobierno</span></p>";Sector público;"actas;administración pública;comisión delegada de asuntos económicos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T16:30:06.977000+02:00;2026-09-24T16:30:06.977000+02:00;2026-09-24T16:30:07.014000+02:00;Junta de Castilla y León;;;;32;4083;0;11771;1311;0;0;5.4
cursosescuelastiempolibre2026;False;Próximos cursos de Formación Juvenil;"<p>Catálogo de próximos cursos de<span style='font-size:11.0pt;font-family:""Aptos"",sans-serif;
mso-fareast-font-family:""Times New Roman"";mso-bidi-font-family:Aptos;
mso-ligatures:standardcontextual;mso-ansi-language:ES;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA'> Formación Juvenil</span> 2026. </p>";Educación;;CC BY 4.0 ES;es;;2026-09-24T16:01:14.099000+02:00;2026-09-24T16:01:14.099000+02:00;2026-09-24T16:01:14.147000+02:00;Junta de Castilla y León;;;;18;3813;0;60448;133;0;0;8.5
voluntariado_entidades-colaboradoras;False;Voluntariado: entidades colaboradoras con garantía juvenil;"<p><span style=""font-size: 12.495px;"">El programa de Voluntariado Joven de Castilla y León es un programa de la Junta de Castilla y León, coordinado por el Consejo de la Juventud de CyL. Cualquier Joven entre 18 y 30 años puede participar en el mismo. La información que recoge son la relación de entidades colaboradoras donde realizar el voluntariado, la temática del tipo de voluntariado que se puede realizar y la provincia donde se puede realizar.</span></p><p><span style=""font-size: 12.495px;""><br></span>Nota: Frecuencia de actualización trimestral </p>";Sociedad y bienestar;"voluntariado;juventud;bienestar social";CC BY 4.0 ES;es;;2026-09-24T15:30:52.800000+02:00;2026-09-24T15:30:52.800000+02:00;2026-09-24T15:30:52.844000+02:00;Junta de Castilla y León;;;;420;28229;0;16058;1355;0;0;6.1
programa-de-voluntariado-estadistica-anual;False;Estadísticas Voluntariado joven;"<p><span style='color: rgb(23, 43, 77); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Noto Sans"", Ubuntu, ""Droid Sans"", ""Helvetica Neue"", sans-serif; font-size: 14px; background-color: rgb(244, 245, 247);'>El programa de Voluntariado Joven de Castilla y León es un programa de la Junta de Castilla y León, coordinado por el Consejo de la Juventud de CyL. Cualquier Joven entre 18 y 30 años puede participar en el mismo. La información que recoge son el número de personas voluntarias que participan en el programa, el número de entidades colaboradoras donde realizar el voluntariado, el número de formaciones y difusiones realizadas para participar y dar a conocer el programa.</span><br></p><p><font face=""Times New Roman, serif""><span style=""font-size: 16px;""><br></span></font></p><p><span style='font-size: 16px; font-family: ""Times New Roman"", serif;'>Frecuencia de actualización Anual.</span><br></p><div><br></div>";Sociedad y bienestar;"voluntariado;juventud;estadísticas";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T15:30:52.796000+02:00;2026-09-24T15:30:52.796000+02:00;2026-09-24T15:30:52.835000+02:00;Junta de Castilla y León;;;;409;26994;0;17300;1570;0;0;6.4
acuerdos-de-consejos-de-gobierno;False;Acuerdos de Consejos de Gobierno;"<p style=""font-family: lora; font-size: medium;"">Relación de Acuerdos de Gobierno indicando para cada uno de ellos la fecha de la sesión, el título, consejería responsable y documento completo del acuerdo.</p><p style=""font-family: lora; font-size: medium;"">Los acuerdos se publican con disociación de los datos de carácter personal.</p><p style=""font-family: lora; font-size: medium;"">Aunque los asuntos se denominan en los listados “propuesta de acuerdo”, “proyecto de decreto” o “anteproyecto de ley”, estos se publican una vez aprobados en Consejo de Gobierno, en cuyo caso pasan ya a ser “Acuerdos”, “Decretos” y “Proyectos de ley”. Cada listado aparecerá publicado en el Portal de Gobierno Abierto el viernes de la semana siguiente a la celebración de la sesión del Consejo de Gobierno en cuestión, una vez haya sido aprobada el acta.</p>";Sector público;"acuerdos;consejos de gobierno";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T14:15:16.598000+02:00;2026-09-24T14:15:16.598000+02:00;2026-09-24T14:15:16.641000+02:00;Junta de Castilla y León;;;;9206;4173815;0;75704;3741;0;0;12.2
superficies-de-cultivos-lenosos;False;Superficies de cultivos leñosos;"<p>Relación de las superficies de cultivos leñosos por municipios, comarcas y provincias en el año.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Anual.</span></p>";Medio rural y pesca;"agricultura;superficies;cultivos;leñosos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T14:05:29.237000+02:00;2026-09-24T14:05:29.237000+02:00;2026-09-24T14:05:37.791000+02:00;Junta de Castilla y León;;;;52563;5038457;0;30561;2101;0;0;8.1
datos-basicos-de-los-archivos-historicos-provinciales-y-archivo-general-de-casti;False;Datos básicos de los Archivos Históricos Provinciales y Archivo General de Castilla y León;"<p><span style=""font-size: 12.495px;"">El dataset “Datos básicos de los Archivos Históricos Provinciales y del Archivo General de Castilla y León” recoge información fundamental y concisa sobre las funciones que realizan los archivos y, en especial, los relacionados con los servicios que prestan tanto a los órganos que han producido la documentación como a los ciudadanos. Los datos que se recogen son:</span></p><ul><li><span style=""font-family: inherit;"">Capacidad de los archivos medida en metros lineales de estantería.</span><br></li><li><span style=""font-size: 12.495px;"">Ocupación de los depósitos, es decir, metros lineales de estantería ocupados o unidades de instalación* bajo la responsabilidad del archivo.</span></li><li><span style=""font-size: 12.495px;"">Unidades de instalación ingresadas.</span></li><li><span style=""font-size: 12.495px;"">Unidades de instalación que han salido de forma definitiva del archivo, mediante transferencia.</span></li><li><span style=""font-size: 12.495px;"">Unidades de instalación eliminadas en aplicación de las Reglas de Conservación aprobadas .</span></li><li><span style=""font-size: 12.495px;"">Dentro de la categoría “Servicios a los ciudadanos”, se engloban los siguientes datos recogidos en la tabla:</span></li><ul><li>número de investigadores/usuarios,</li><li><span style=""font-size: 12.495px;"">número de consultas en sala,</span></li><li><span style=""font-size: 12.495px;"">número de consultas no presenciales,</span></li><li><span style=""font-size: 12.495px;"">número de fotocopias y</span></li><li><span style=""font-size: 12.495px;"">reproducciones digitales servidas.</span></li></ul><li><span style=""font-size: 12.495px;"">Incluidos en la categoría “Servicios a los órganos productores de la documentación” encontramos recogidos en la tabla estos campos:</span></li><ul><li><span style=""font-size: 12.495px;"">número de solicitudes de información del órgano productor,</span></li><li><span style=""font-size: 12.495px;"">número de solicitudes de asistencia técnica del órgano productor,</span></li><li><span style=""font-size: 12.495px;"">número de unidades de instalación consultadas por el órgano productor,</span></li><li><span style=""font-size: 12.495px;"">número de expedientes prestados al órgano productor,</span></li><li><span style=""font-size: 12.495px;"">número de expedientes o documentos incorporados a expedientes ya custodiados en el archivo.</span></li></ul><li><span style=""font-size: 12.495px;"">Libros (títulos) de la Biblioteca especializada de los Archivos Históricos Provinciales y del Archivo General de Castilla y León.</span></li><li><span style=""font-size: 12.495px;"">Publicaciones periódicas (títulos) de la Biblioteca especializada de los Archivos Históricos Provinciales y del Archivo General de Castilla y León.</span></li></ul><p><span style=""font-size: 12.495px;"">* Una unidad de instalación equivale habitualmente a una caja.</span></p>";Cultura y ocio;"cultura;archivos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T14:00:38.001000+02:00;2026-09-24T14:00:38.001000+02:00;2026-09-24T14:00:46.577000+02:00;Junta de Castilla y León;;;;60;7143;0;10042;1531;0;0;5.3
superficies-de-cultivos-herbaceos;False;Superficies de cultivos herbáceos;"<p>Relación de las superficies de cultivos herbáceos por municipios, comarcas y provincias.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Anual</span></p>";Medio rural y pesca;"agricultura;superficies;cultivos;herbáceos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T14:00:15.565000+02:00;2026-09-24T14:00:15.565000+02:00;2026-09-24T14:00:20.792000+02:00;Junta de Castilla y León;;;;384837;41227294;0;55821;3764;0;0;10.9
bocyl;False;Boletín Oficial de Castilla y León;<p>Disposiciones del Boletín Oficial de Castilla y León.</p>;Sector público;BOCyL;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T13:08:37.206000+02:00;2026-09-24T13:08:37.206000+02:00;2026-09-24T23:08:12.593000+02:00;Junta de Castilla y León;;;;64367;49730140;0;1760110;6231;0;0;47.0
jovenes-inscritos-en-garantia-juvenil;False;Jóvenes inscritos en garantía juvenil;"<p style=""""><span style=""font-family: lora; font-size: medium;"">La información contenida recoge el número de jóvenes inscritos en garantía juvenil en nuestra comunidad.</span><br></p><p style=""font-family: lora; font-size: medium;"">Garantía Juvenil es una iniciativa europea que pretende facilitar el acceso de los jóvenes al mercado de trabajo.</p><p style=""font-family: lora; font-size: medium;"">En él se contemplan el número de solicitudes realizadas, los expedientes resueltos, las inscripciones aprobadas y las rechazadas desagregados por provincias y sexo. Los informes estadísticos publicados tienen un carácter exclusivamente orientativo, al sufrir los datos variaciones diarias, incluso a tiempo pasado, como consecuencia del funcionamiento dinámico del sistema de recogida de datos. Los datos son resultado del seguimiento que se realiza con el único objeto de orientar acerca de los inscritos en el Sistema Nacional de Garantía Juvenil.</p><p style=""""><font face=""Times New Roman, serif""><span style=""font-size: 16px;"">Con una actualización Trimestral.</span></font></p>";Empleo;"juventud;garantia juvenil;empleo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T11:20:14.492000+02:00;2026-09-24T11:20:14.492000+02:00;2026-09-24T11:20:14.543000+02:00;Junta de Castilla y León;;;;18;1732;0;10427;1535;5;0;5.4
catalogo-de-informacion-publica;False;Catálogo de información pública;"<p><span style=""font-size: 14px;"">Relación de los contenidos cuya publicación debe promoverse de manera activa indicando los formatos utilizados, y se identifiquen sus responsables y los plazos de actualización de cada uno de ellos.</span><br></p>";Sector público;"administración pública;catálogo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T10:12:07.733000+02:00;2026-09-24T10:12:07.733000+02:00;2026-09-24T10:12:07.779000+02:00;Junta de Castilla y León;;;;598;519623;0;24949;322;0;0;6.1
estadisticas-web-navegadores;False;Estadisticas web - Navegadores;"<p><span style=""font-size: 12.495px;"">Información sobre los navegadores empleados para navegar por cada sitio web. Actualización diaria.</span></p>";Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T08:17:16.829000+02:00;2026-09-24T08:17:16.829000+02:00;2026-09-24T08:17:16.869000+02:00;Junta de Castilla y León;;;;894984;60736260;0;60511;853;0;0;9.5
estadisticas-web-dispositivos;False;Estadisticas web - Dispositivos;<p>Información sobre el número de sesiones por dispositivos utilizados para navegar por sitio web. Actualización diaria.</p>;Sector público;estadísticas;CC BY 4.0 ES;es;;2026-09-24T08:16:04.818000+02:00;2026-09-24T08:16:04.818000+02:00;2026-09-24T08:16:04.889000+02:00;Junta de Castilla y León;;;;108724;9248516;0;28341;773;0;0;6.9
